"on_station","off_station","num_stages"
"place-alfcl","place-alsgr",1.19
"place-alfcl","place-andrw",67.63
"place-alfcl","place-aport",34.93
"place-alfcl","place-aqucl",14.03
"place-alfcl","place-armnl",205.20
"place-alfcl","place-asmnl",71.15
"place-alfcl","place-astao",13.67
"place-alfcl","place-babck",3.28
"place-alfcl","place-bbsta",102.79
"place-alfcl","place-bcnfd",2.44
"place-alfcl","place-bcnwa",1.87
"place-alfcl","place-bland",6.02
"place-alfcl","place-bmmnl",6.58
"place-alfcl","place-boyls",43.79
"place-alfcl","place-brdwy",132.64
"place-alfcl","place-brico",2.74
"place-alfcl","place-brkhl",3.54
"place-alfcl","place-brmnl",29.04
"place-alfcl","place-brntn",33.43
"place-alfcl","place-bucen",7.24
"place-alfcl","place-buest",4.52
"place-alfcl","place-buwst",2.92
"place-alfcl","place-bvmnl",10.62
"place-alfcl","place-ccmnl",42.65
"place-alfcl","place-chhil",3.85
"place-alfcl","place-chmnl",755.47
"place-alfcl","place-chncl",7.10
"place-alfcl","place-cntsq",1027.27
"place-alfcl","place-coecl",212.11
"place-alfcl","place-cool",7.89
"place-alfcl","place-crtst",45.34
"place-alfcl","place-davis",557.25
"place-alfcl","place-dwnxg",1162.17
"place-alfcl","place-eliot",1.27
"place-alfcl","place-engav",1.08
"place-alfcl","place-fenwd",2.94
"place-alfcl","place-fenwy",24.10
"place-alfcl","place-fldcr",40.89
"place-alfcl","place-forhl",54.13
"place-alfcl","place-gover",58.01
"place-alfcl","place-grnst",16.19
"place-alfcl","place-haecl",133.76
"place-alfcl","place-harsq",1188.87
"place-alfcl","place-harvd",8.10
"place-alfcl","place-hwsst",2.46
"place-alfcl","place-hymnl",84.88
"place-alfcl","place-jaksn",30.11
"place-alfcl","place-jfk",188.27
"place-alfcl","place-kencl",100.47
"place-alfcl","place-knncl",1449.55
"place-alfcl","place-kntst",2.33
"place-alfcl","place-lech",18.20
"place-alfcl","place-lngmd",36.20
"place-alfcl","place-longw",25.62
"place-alfcl","place-masta",47.64
"place-alfcl","place-mfa",24.40
"place-alfcl","place-mispk",3.60
"place-alfcl","place-mlmnl",63.52
"place-alfcl","place-mvbcl",54.19
"place-alfcl","place-newtn",1.44
"place-alfcl","place-newto",3.59
"place-alfcl","place-north",132.79
"place-alfcl","place-nqncy",66.10
"place-alfcl","place-nuniv",26.78
"place-alfcl","place-ogmnl",13.27
"place-alfcl","place-orhte",11.80
"place-alfcl","place-pktrm",1025.16
"place-alfcl","place-plsgr",3.82
"place-alfcl","place-portr",310.99
"place-alfcl","place-prmnl",62.56
"place-alfcl","place-qamnl",29.25
"place-alfcl","place-qnctr",72.36
"place-alfcl","place-rbmnl",20.23
"place-alfcl","place-rcmnl",26.18
"place-alfcl","place-river",2.62
"place-alfcl","place-rsmnl",3.95
"place-alfcl","place-rugg",72.01
"place-alfcl","place-rvrwy",2.14
"place-alfcl","place-sbmnl",18.73
"place-alfcl","place-sdmnl",1.47
"place-alfcl","place-shmnl",11.55
"place-alfcl","place-smary",7.83
"place-alfcl","place-smmnl",27.27
"place-alfcl","place-spmnl",2.75
"place-alfcl","place-sstat",1287.67
"place-alfcl","place-state",34.40
"place-alfcl","place-stplb",5.11
"place-alfcl","place-stpul",2.61
"place-alfcl","place-sull",38.14
"place-alfcl","place-sumav",1.96
"place-alfcl","place-symcl",34.29
"place-alfcl","place-tapst",1.34
"place-alfcl","place-tumnl",48.02
"place-alfcl","place-wascm",2.27
"place-alfcl","place-welln",28.34
